"usuario","data","hora","texto","midia","num_caracteres","num_palavras","num_emojis","num_mencoes","likes","repostagens","comentarios","prob_positivo","prob_neutro","prob_negativo","sentimento_geral"
"anaelisapimentatrindade","2025-09-10","21:33:25","Fui honra a toga🇧🇷",0,18,4,1,0,87,"",2,0.32908713817596436,0.6548051834106445,0.016107682138681412,"neutro"
"gloria.moraiss","2025-09-10","21:38:50","Parabéns Ministro!!!Honrado e verdadeiro!!!!🇧🇷🇧🇷🇧🇷",0,50,4,3,0,190,"",2,0.9650807976722717,0.031042782589793205,0.0038764257915318012,"positivo"
"dircecaruzodesigner","2025-09-10","18:31:54","Fux honra a toga! Este me representa 🙏",0,38,8,1,0,340,"",5,0.9845330119132996,0.011947340331971645,0.0035197024699300528,"positivo"
"alinemanon3","2025-09-10","21:33:53","Fiz honra a toga!!",0,18,4,0,0,28,"",0,0.15044718980789185,0.8339757323265076,0.015577170066535473,"neutro"
"munizp1961","2025-09-10","21:33:36","Fui honra a toga!",0,17,4,0,0,51,"",2,0.278777539730072,0.6973397731781006,0.02388264425098896,"neutro"
"natureplusinc.brasil","2025-09-10","21:32:41","🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷👏👏👏👏👏🙏🙏🙏Minitro Fux...esse sim honra a Toga que usa e, faz jus a cadeira de Ministro inteligente e correto.....parabéns 🙏",0,131,19,14,0,127,"",6,0.9821186065673828,0.012659446336328983,0.005221885163336992,"positivo"
"francaneverdalpont","2025-09-10","18:31:35","Fux honra a toda 🇧🇷",0,19,5,1,0,148,"",3,0.8372674584388733,0.15793074667453766,0.004801731090992689,"positivo"
"sueliconsalter","2025-09-11","01:55:45","Parabéns Ministro Luiz Fux. O senhor Honra a Toga! FUX HONRA A TOGA!",0,68,13,0,0,48,"",2,0.9369736313819885,0.051207467913627625,0.011818830855190754,"positivo"
"acerlescaronecelinha_carone","2025-09-13","15:41:13","Muito Bem FUX HONRA A TOGA🔥🇧🇷🇧🇷🇺🇸🇧🇷🇧🇷",0,37,6,6,0,1,"",0,0.9540036916732788,0.04016405716538429,0.005832219030708075,"positivo"
"pastorjuliopinheiro","2025-09-10","18:31:51","Tirem um tempo e orem! Orem! Orem!",0,34,7,0,0,672,"",11,0.2838124930858612,0.6691844463348389,0.04700307920575142,"neutro"
"sidisomenzi","2025-09-10","18:31:42","Parabéns Fux",0,12,2,0,0,14,"",0,0.9698671698570251,0.024212906137108803,0.005919980816543102,"positivo"
"franciscomartins13111959","2025-09-10","21:28:00","Fui hora a toga",0,15,4,0,0,2,"",0,0.1441863477230072,0.8104403018951416,0.0453733392059803,"neutro"
"dam.andreia","2025-09-11","06:41:27","Realmente Fux deu um voto meramente técnico, imparcial, de jurista, que é o quê ele sempre foi de verdade. Fux honra a toga sem sombra de dúvidas. Ao contrário dos demais",0,170,31,0,0,10,"",0,0.6384299397468567,0.2910609543323517,0.07050912827253342,"positivo"
"angelamariasoaresgomes","2025-09-19","11:34:49","FUX honra a toga. O único competente para o cargo que ocupa.",0,60,12,0,0,1,"",0,0.8208373188972473,0.1563909500837326,0.022771688178181648,"positivo"
"matheus.imper","2025-09-11","00:39:15","Fiz honra a toga",0,16,4,0,0,2,"",0,0.12213064730167389,0.8447794318199158,0.033089883625507355,"neutro"
"gloria.moraiss","2025-09-10","21:37:29","Fux Honra a Toga!!!!",0,20,4,0,0,48,"",0,0.20111164450645447,0.7460734844207764,0.052814848721027374,"neutro"
"roseavelinoc","2025-09-20","18:02:45","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"dalvacaffe","2025-09-18","02:37:13","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"cianematiassilveira","2025-09-10","18:31:38","Fux honra a toga e os brasileiros 👏👏👏👏🇧🇷",0,40,8,5,0,125,"",2,0.7630272507667542,0.21080733835697174,0.0261654295027256,"positivo"
"simonefraga14","2025-09-20","19:01:53","Fux honra a toga!!!!!!!",0,23,4,0,0,1,"",0,0.18467414379119873,0.7641889452934265,0.05113689601421356,"neutro"
"dalvacaffe","2025-09-18","02:36:47","FUX HONRA A TOGA",0,16,4,0,0,1,"",0,0.23444320261478424,0.7439596652984619,0.021597083657979965,"neutro"
"crossxfight","2025-09-10","18:31:54","FUX FAIXA PRETA DE JIU JITSU🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 BRASIL E HONRA FUX HONRA A TOGA",0,76,13,8,0,35,"",0,0.6593546867370605,0.3172484040260315,0.023396849632263184,"positivo"
"roseavelinoc","2025-09-20","18:03:11","Fux honra a toga 👏",0,18,5,1,0,1,"",0,0.8461310863494873,0.14239612221717834,0.011472786776721478,"positivo"
"paulaemerson90","2025-09-10","18:31:42","Fux honra a Toga!!!",0,19,4,0,0,158,"",0,0.1504882127046585,0.7926695942878723,0.05684227496385574,"neutro"
"dalvacaffe","2025-09-18","02:37:37","FUX HONRA A TOGA",0,16,4,0,0,1,"",0,0.23444320261478424,0.7439596652984619,0.021597083657979965,"neutro"
"freitas.divinojose","2025-09-19","19:25:42","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"mvic.ferreira","2025-09-11","01:35:13","Fux honra a toga!🇧🇷🇧🇷🇧🇷",0,23,4,3,0,37,"",1,0.6563476920127869,0.3192465901374817,0.02440575323998928,"positivo"
"marianeivasardenberg","2025-09-19","15:34:29","Fux apoia a toga Fux honesta toga",0,33,7,0,0,1,"",0,0.10305075347423553,0.8345354199409485,0.06241382285952568,"neutro"
"darlenunesbarros","2025-09-22","03:26:40","Fux Honra a Toga!",0,17,4,0,0,1,"",0,0.3299734592437744,0.6075427532196045,0.062483761459589005,"neutro"
"marianeivasardenberg","2025-09-19","15:33:09","Fux apoia a toga",0,16,4,0,0,1,"",0,0.03615536540746689,0.8463160991668701,0.11752849817276001,"neutro"
"marianeivasardenberg","2025-09-19","15:32:49","Fux apoia a toga",0,16,4,0,0,1,"",0,0.03615536540746689,0.8463160991668701,0.11752849817276001,"neutro"
"freitas.divinojose","2025-09-19","19:25:25","Ruxhonrra a toga",0,16,3,0,0,1,"",0,0.1080818697810173,0.6476934552192688,0.2442246973514557,"neutro"
"extensionessanpablo","2025-09-12","17:28:27","Fux honra a toga 🙏",0,18,5,1,0,1,"",0,0.3114927113056183,0.6655123829841614,0.022994885221123695,"neutro"
"acerlescaronecelinha_carone","2025-09-13","15:44:15","🇧🇷🇧🇷🇧🇷🇧🇷",0,8,1,4,0,1,"",0,0.5799937844276428,0.387315958738327,0.03269027918577194,"positivo"
"roseavelinoc","2025-09-20","18:03:22","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"matheus.imper","2025-09-11","00:38:48","#fuxhonraatoga",0,14,1,0,0,2,"",0,0.06321904063224792,0.9314712285995483,0.005309734493494034,"neutro"
"julio.rocha_oficial","2025-09-13","13:48:31","FUX HONRA A TOGA.",0,17,4,0,0,1,"",0,0.2582591474056244,0.7199962139129639,0.02174464613199234,"neutro"
"extensionessanpablo","2025-09-12","17:28:16","Fux honra a toga 🇧🇷",0,19,5,1,0,1,"",0,0.3183903396129608,0.6577953696250916,0.023814279586076736,"neutro"
"ednaap2024","2025-09-26","21:05:32","FUX HONRA A TOGA🇧🇷",0,18,4,1,0,1,"",0,0.5228683352470398,0.46156132221221924,0.015570378862321377,"positivo"
"andreveloso.prontu","2025-09-14","01:40:49","Fux honra a toga! Eles são pagos para manter a ordem e estão promovendo a desordem!!! Absurdo...🤬",0,97,17,1,0,1,"",0,0.0048488168977200985,0.015955476090312004,0.9791957139968872,"negativo"
"extensionessanpablo","2025-09-12","17:28:00","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"extensionessanpablo","2025-09-12","17:26:59","Fux honra a toga 🙏",0,18,5,1,0,1,"",0,0.3114927113056183,0.6655123829841614,0.022994885221123695,"neutro"
"extensionessanpablo","2025-09-12","17:27:12","Fux honra a toga 🙏🇧🇷",0,20,5,2,0,1,"",0,0.3966008424758911,0.5793488621711731,0.024050263687968254,"neutro"
"extensionessanpablo","2025-09-12","17:27:37","Fux honra a toga 👏🇧🇷",0,20,5,2,0,1,"",0,0.7846418023109436,0.20140135288238525,0.013956798240542412,"positivo"
"extensionessanpablo","2025-09-12","17:27:48","Fux honra a toga 🙏🇧🇷",0,20,5,2,0,1,"",0,0.3966008424758911,0.5793488621711731,0.024050263687968254,"neutro"
"extensionessanpablo","2025-09-12","17:28:45","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"extensionessanpablo","2025-09-12","17:28:50","🙏🇧🇷",0,3,1,2,0,1,"",0,0.48377716541290283,0.4907599687576294,0.02546285279095173,"neutro"
"extensionessanpablo","2025-09-12","17:29:16","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"extensionessanpablo","2025-09-12","17:29:34","Fux honra a toga 🙏🇧🇷",0,20,5,2,0,1,"",0,0.3966008424758911,0.5793488621711731,0.024050263687968254,"neutro"
"extensionessanpablo","2025-09-12","17:29:45","Fux honra a toga 🇧🇷🙏",0,20,5,2,0,1,"",0,0.3925992548465729,0.5842685699462891,0.023132186383008957,"neutro"
"extensionessanpablo","2025-09-12","17:29:57","Fux honra a toga 🙏🇧🇷",0,20,5,2,0,1,"",0,0.3966008424758911,0.5793488621711731,0.024050263687968254,"neutro"
"extensionessanpablo","2025-09-12","17:30:36","Fux honra a toga 🙏",0,18,5,1,0,1,"",0,0.3114927113056183,0.6655123829841614,0.022994885221123695,"neutro"
"extensionessanpablo","2025-09-12","17:30:25","Dux honra a toga🇧🇷🙏",0,19,4,2,0,1,"",0,0.323976069688797,0.6481192708015442,0.027904612943530083,"neutro"
"extensionessanpablo","2025-09-12","17:30:59","Fux honra a toga 🇧🇷",0,19,5,1,0,1,"",0,0.3183903396129608,0.6577953696250916,0.023814279586076736,"neutro"
"extensionessanpablo","2025-09-12","17:31:09","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"extensionessanpablo","2025-09-12","17:31:26","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"extensionessanpablo","2025-09-12","17:31:49","Fui honra a toga 🇧🇷🙏",0,20,5,2,0,1,"",0,0.41752684116363525,0.5650691986083984,0.017403993755578995,"neutro"
"hardtjair","2025-09-12","17:50:01","Parabéns ministro honra a toga",0,30,5,0,0,1,"",0,0.9834633469581604,0.013212380930781364,0.0033242967911064625,"positivo"
"judithprates.adv","2025-09-12","17:54:36","Fux honra a toga👏🇧🇷",0,19,4,2,0,1,"",0,0.7846418023109436,0.20140135288238525,0.013956798240542412,"positivo"
"ro2dr2i.go","2025-09-12","17:56:00","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"adelinadefreitasmoreira","2025-09-12","19:01:22","Fux honra a Togo que lhe foi confiada . 🙏🙏🙏🙏",0,44,10,4,0,1,"",0,0.5537672638893127,0.4093923568725586,0.03684043884277344,"positivo"
"yuasayumiko","2025-09-12","20:08:27","Fux honra a toga.",0,17,4,0,0,1,"",0,0.1895180493593216,0.7509772777557373,0.05950463190674782,"neutro"
"yuasayumiko","2025-09-12","20:08:57","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"roseterra.langley","2025-09-12","20:33:15","FUX HONRA A TOGA",0,16,4,0,0,1,"",0,0.23444320261478424,0.7439596652984619,0.021597083657979965,"neutro"
"zulceliapontes","2025-09-12","20:35:44","Fux honra aToga",0,15,3,0,0,1,"",0,0.09217459708452225,0.8810743689537048,0.02675100415945053,"neutro"
"vlmpequeno","2025-09-12","20:42:08","Fiz honra a toga",0,16,4,0,0,1,"",0,0.12213064730167389,0.8447794318199158,0.033089883625507355,"neutro"
"jorlandolopes","2025-09-12","20:45:20","Fux honra adoga🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🙏🙏",0,27,3,7,0,1,"",0,0.7839224934577942,0.19902513921260834,0.017052384093403816,"positivo"
"dida.andrade2017","2025-09-12","20:55:21","Parabéns Fux",0,12,2,0,0,1,"",0,0.9698671698570251,0.024212906137108803,0.005919980816543102,"positivo"
"suzanamendesfranco","2025-09-12","21:45:40","Fiz honra a toga",0,16,4,0,0,1,"",0,0.12213064730167389,0.8447794318199158,0.033089883625507355,"neutro"
"augustojcarlos","2025-09-12","20:58:29","Fux honrra toga",0,15,3,0,0,2,"",0,0.3602333068847656,0.6275389194488525,0.01222781091928482,"neutro"
"silasfernandeslima","2025-09-12","22:00:22","#fuxhonraatoga",0,14,1,0,0,1,"",0,0.06321904063224792,0.9314712285995483,0.005309734493494034,"neutro"
"josy2128","2025-09-12","22:55:53","Tem que pagar por todo mal que fez mesmo",0,40,9,0,0,1,"",0,0.015090474858880043,0.03859860450029373,0.9463108777999878,"negativo"
"gelbia23","2025-09-12","23:03:01","FUx onda a toca",0,15,4,0,0,1,"",0,0.1663934588432312,0.8152458071708679,0.01836075820028782,"neutro"
"silva_03455","2025-09-12","23:13:32","👏👏👏👏",0,4,1,4,0,1,"",0,0.7605944275856018,0.20578402280807495,0.03362152725458145,"positivo"
"mabelcosta8","2025-09-12","23:17:36","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"zulianivirginia","2025-09-12","23:38:13","Fux honra a Toga! 🙌👏👏👏🇧🇷🇧🇷🇧🇷",0,28,5,7,0,1,"",0,0.7152025103569031,0.2544820010662079,0.030315537005662918,"positivo"
"edvanianicolau","2025-09-13","00:38:10","FUX HONRA A TOGA 🇧🇷🇧🇷🇧🇷🇧🇷",0,25,5,4,0,1,"",0,0.6115149259567261,0.3629322350025177,0.025552898645401,"positivo"
"priollifonseca","2025-09-13","05:26:29","👏🇧🇷👏🇧🇷👏🇧🇷👏",0,10,1,7,0,1,"",0,0.7579889893531799,0.2109270691871643,0.03108392469584942,"positivo"
"priollifonseca","2025-09-13","05:26:18","🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",0,10,1,5,0,1,"",0,0.5900014042854309,0.3767241835594177,0.03327446058392525,"positivo"
"mariaheloisamarquespereira","2025-09-13","03:21:22","Fux honra toga👏🇧🇷🇧🇷🇧🇷🇧🇷",0,23,3,5,0,1,"",0,0.7046523690223694,0.27341026067733765,0.02193737030029297,"positivo"
"nalinemello","2025-09-13","02:31:45","Fux honra a toga!!",0,18,4,0,0,1,"",0,0.19360782206058502,0.7533571124076843,0.05303505063056946,"neutro"
"preta.branco_","2025-09-13","02:09:11","FUX HONRA A TOGA👏👏🇧🇷🇧🇷",0,22,4,4,0,2,"",0,0.7745635509490967,0.20552504062652588,0.01991135999560356,"positivo"
"kiielsanttos","2025-09-13","01:26:52","Queremos entender, prq o juiz disse q não é de competência do STF julgar o Bolsonaro. E prq ninguém fez nada pra isso não acontecer?.cader o sendo e a câmara dos deputados?",0,172,32,0,0,1,"",0,0.008910659700632095,0.08918868750333786,0.9019007086753845,"negativo"
"margaridamariamarins","2025-09-10","21:25:54","Fux honra a toga, outro nível 🙏",0,31,7,1,0,5,"",1,0.9848363995552063,0.01270738523453474,0.0024562557227909565,"positivo"
"pim_washington","2025-09-10","21:25:25","Fux honra a ToGa em nome de Jesus 🙏🙏🙏🙏🙏",0,39,9,5,0,4,"",2,0.5241196155548096,0.36853817105293274,0.1073421910405159,"positivo"
"fatima.arrudajdi","2025-09-10","18:31:39","Grande FUX 👏👏👏",0,14,3,3,0,73,"",4,0.9380632638931274,0.05494942143559456,0.006987310945987701,"positivo"
"socorrontorres","2025-09-11","17:00:57","Parabéns ministro Fux pela sua honradez, vc sim merece o nosso respeito!",0,72,12,0,0,8,"",0,0.9780473113059998,0.015703972429037094,0.006248769350349903,"positivo"
"antunesnilzaoliveira","2025-09-12","16:27:43","Fux honra toga",0,14,3,0,0,1,"",0,0.14945293962955475,0.8285688161849976,0.021978162229061127,"neutro"
"monteirofbia","2025-09-10","18:45:20","Fux honra a toga 🇧🇷",0,19,5,1,0,1,"",0,0.3183903396129608,0.6577953696250916,0.023814279586076736,"neutro"
"anetearacybonafe","2025-09-10","22:24:43","🇧🇷🙌",0,3,1,2,0,2,"",0,0.34723570942878723,0.6233850121498108,0.029379302635788918,"neutro"
"toledo.yara","2025-09-12","12:15:49","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"zelia.rodrigues_52","2025-09-11","00:25:16","#fuxhonraatoga",0,14,1,0,0,1,"",0,0.06321904063224792,0.9314712285995483,0.005309734493494034,"neutro"
"marciaalbina5","2025-09-11","02:13:20","👏👏🇧🇷",0,4,1,3,0,0,"",2,0.7406110167503357,0.23563434183597565,0.023754581809043884,"positivo"
"analuiza.senas","2025-09-11","18:52:49","Fux honra a toga!!🇧🇷🇧🇷🇧🇷🇧🇷",0,26,4,4,0,1,"",0,0.6715444326400757,0.30781978368759155,0.020635735243558884,"positivo"
"anaritacosta_1","2025-09-12","01:09:42","Fux Honra a toga 🇧🇷🇧🇷🇧🇷🇧🇷",0,25,5,4,0,1,"",0,0.4484706521034241,0.5135359168052673,0.037993405014276505,"neutro"
"vanja.lopes","2025-09-12","01:15:09","Fux honra a toga",0,16,4,0,0,1,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"edmilsonnunescorreia","2025-09-11","00:49:11","👏👏👏👏👏é bonito ver um juiz dar uma sentença puramente jurídica , parabéns Fux🇧🇷🇧🇷🇧🇷👏👏",0,84,13,10,0,20,"",1,0.9886892437934875,0.00813753716647625,0.0031732283532619476,"positivo"
"damimines","2025-09-11","23:16:03","FUX HONRA A TOGA!!!",0,19,4,0,0,0,"",0,0.22265364229679108,0.7627707719802856,0.014575655572116375,"neutro"
"elainegroschke","2025-11-23","22:44:45","Fux honra a toga!",0,17,4,0,0,0,"",0,0.34619611501693726,0.5968896746635437,0.05691422149538994,"neutro"
"gerllany81","2025-11-17","23:56:56","Anistia já pra todos 🇧🇷🇧🇷🇧🇷",0,27,5,3,0,0,"",0,0.5073644518852234,0.3642981946468353,0.12833736836910248,"positivo"
"vivianeacp1","2025-11-15","16:29:09","Fux honra a toga 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",0,45,5,14,0,0,"",0,0.6406406760215759,0.32555803656578064,0.033801253885030746,"positivo"
"brunosousa6493","2025-11-14","20:16:28","Fui honrar a toga",0,17,4,0,0,0,"",0,0.13671386241912842,0.8340660333633423,0.029220089316368103,"neutro"
"brunosousa6493","2025-11-14","20:16:00","Fui honrar a toga",0,17,4,0,0,0,"",0,0.13671386241912842,0.8340660333633423,0.029220089316368103,"neutro"
"dulce.lago","2025-11-14","15:53:37","FUX HONRA A TOGA👏👏👏👏",0,20,4,4,0,0,"",0,0.793215811252594,0.18442384898662567,0.02236034721136093,"positivo"
"llcpaz","2025-11-12","00:01:05","Fux honra a toga",0,16,4,0,0,0,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"llcpaz","2025-11-12","00:00:44","Fux honra a toga",0,16,4,0,0,0,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"llcpaz","2025-11-12","00:00:19","Fux honra a toga honra",0,22,5,0,0,0,"",0,0.20171581208705902,0.7566733360290527,0.04161074012517929,"neutro"
"marileneribeiro1954","2025-10-29","01:36:06","Fux honra a toga",0,16,4,0,0,0,"",0,0.18326729536056519,0.7842142581939697,0.03251843526959419,"neutro"
"katiamelo.ap","2025-10-23","02:28:24","Fux honra a toga🙌",0,17,4,1,0,0,"",0,0.22662772238254547,0.7465219497680664,0.02685035578906536,"neutro"
"katiamelo.ap","2025-10-23","02:26:46","Fux Honda a toga!!!",0,19,4,0,0,0,"",0,0.06636571139097214,0.7109701633453369,0.22266411781311035,"neutro"
"jorgegabardo62","2025-09-28","10:43:02","Fui honra a toga",0,16,4,0,0,0,"",0,0.19046653807163239,0.7845601439476013,0.024973366409540176,"neutro"
"ana2017maria.da.silva","2025-09-27","16:26:02","Fux hora a toga e um guerreiro",0,30,7,0,0,0,"",0,0.53301602602005,0.43463563919067383,0.03234834596514702,"positivo"
"benaiontocandira","2025-09-26","22:47:12","Foi honrado a toga fiz e um jurista honesto e justo",0,51,11,0,0,0,"",0,0.9466100931167603,0.045947637408971786,0.0074422466568648815,"positivo"
"ednaap2024","2025-09-26","21:08:45","Fux honra a toga 🇧🇷",0,19,5,1,0,0,"",0,0.3183903396129608,0.6577953696250916,0.023814279586076736,"neutro"
"ednaap2024","2025-09-26","21:08:36","Fux honra a toga🇧🇷",0,18,4,1,0,0,"",0,0.3183903396129608,0.6577953696250916,0.023814279586076736,"neutro"
