data,texto,likes,comentarios,sentimento_geral,tipo
2026-01-15,"@nikolas_dm A “desequilibrada” vem mais uma vez aqui… saiu mais um vídeo de sucesso e nada do banco Master. De forma lúcida lhe pergunto: algo lhe impede de falar do Banco Master? Aos mais atentos está claro que temos muitos da classe política envolvidos nesse escândalo, inclusive o",57,,negativo,TOP 5
2026-01-16,@nikolas_dm TUDO ISSO É UM TEATRO DE FARSAS! UMA CORTINA DE FUMAÇA!,35,,negativo,TOP 5
2026-01-15,"@nikolas_dm Chupetinha, Você é um dos maiores mitomaníacos que eu já tive o desprazer de conhecer. Para nossa sorte você é burro como uma porta.",26,,negativo,TOP 5
2026-01-15,"@nikolas_dm VAI FALAR sobre o MASTER? Ainda não teve tempo de fazer o roteiro, ou tem telhado de vidro deputado? https://t.co/B1A7QhKGr3",13,,negativo,TOP 5
2026-01-15,"@nikolas_dm VAI FALAR sobre o MASTER, ou ainda não teve tempo de fazer o roteiro?",7,,neutro,TOP 5
2026-01-27,"@angelma_santos @nikolas_dm O Zé Pilantra acha que a vida da nação é o Estado Rico com o povo pobre. É justamente o contrário. O estado ajustado, pequeno, eficiente, e o povo rico, com trilhões circulando em negócios e a criatividade do empreendedor. Governo Mão Grande não funciona.",0,,negativo,BOTTOM 5
2026-01-26,"@EncravoT @rafalogar @nikolas_dm 🤣🤣🤣🤣🤣🤣 Esse é o cara que diz “nem esquerda nem direita”. Mente e xinga, o que faz do Gugu da bica mal caráter e burro pra caralho",0,,negativo,BOTTOM 5
2026-01-26,@rafalogar @Revival0403 @nikolas_dm É um merda bolsonarista mesmo. https://t.co/W2JWZyyxkv,0,,negativo,BOTTOM 5
2026-01-26,@Revival0403 @EncravoT @nikolas_dm É óbvio que é esquerdopata! Só ir no histórico dele você vai ver o nível intelectual….,0,,negativo,BOTTOM 5
2026-01-25,@nikolas_dm 💪💪💪🇧🇷🇧🇷🇧🇷 #AcordaBrasil #BrasilLivre #AnistiaJá,0,,neutro,BOTTOM 5
