"usuario","data","hora","texto","midia","num_caracteres","num_palavras","num_emojis","num_mencoes","likes","repostagens","comentarios","prob_positivo","prob_neutro","prob_negativo","sentimento_geral"
"NassifMarcelo16","2026-01-27","23:01:43","@angelma_santos @nikolas_dm O Zé Pilantra acha que a vida da nação é o Estado Rico com o povo pobre. É justamente o contrário. O estado ajustado, pequeno, eficiente, e o povo rico, com trilhões circulando em negócios e a criatividade do empreendedor. Governo Mão Grande não funciona.",0,283,47,0,2,0,0,"",0.010846588760614395,0.025274233892560005,0.9638792276382446,"negativo"
"Revival0403","2026-01-26","11:32:37","@EncravoT @rafalogar @nikolas_dm 🤣🤣🤣🤣🤣🤣 Esse é o cara que diz “nem esquerda nem direita”. Mente e xinga, o que faz do Gugu da bica mal caráter e burro pra caralho",0,162,30,6,3,0,0,"",0.017635365948081017,0.0284561887383461,0.9539084434509277,"negativo"
"EncravoT","2026-01-26","11:14:23","@rafalogar @Revival0403 @nikolas_dm É um merda bolsonarista mesmo. https://t.co/W2JWZyyxkv",1,90,9,0,3,0,0,"",0.005097581539303064,0.013200978748500347,0.9817013740539551,"negativo"
"rafalogar","2026-01-26","02:45:39","@Revival0403 @EncravoT @nikolas_dm É óbvio que é esquerdopata! Só ir no histórico dele você vai ver o nível intelectual….",0,121,19,0,3,0,0,"",0.038218580186367035,0.3598732352256775,0.6019081473350525,"negativo"
"FNovelli1973","2026-01-25","22:19:28","@nikolas_dm 💪💪💪🇧🇷🇧🇷🇧🇷 #AcordaBrasil #BrasilLivre #AnistiaJá",0,59,5,6,1,0,0,"",0.3235728144645691,0.6316478252410889,0.04477933794260025,"neutro"
"Revival0403","2026-01-25","18:19:48","@EncravoT @nikolas_dm “Não sou nem petista nem bolsonarista”. Carimba que é esquerdalha. E o que diz a resolução 32??? Se já tem a resolução 32, por que a tua narcoditadura precisa editar outra norma??",0,201,34,0,2,1,0,"",0.013696926645934582,0.20616725087165833,0.7801357507705688,"negativo"
"EncravoT","2026-01-25","18:15:15","@Revival0403 @nikolas_dm Aí, seu alienado de 💩 ! Internet não serve só para extrema direita passar Fake News ! É monitorado desde o 1º dia ! Não sou petista nem bolsonarista ! Tenho mais de 2 neurônios funcionais, A R R O M B A D O ! Instrução Normativa BCB n° 32 de 26/10/2020 https://t.co/grwYQCfFeO",1,301,56,1,2,0,0,"",0.09216351807117462,0.13306115567684174,0.7747753262519836,"negativo"
"Revival0403","2026-01-25","15:33:26","@EncravoT @nikolas_dm Mostra a norma, porque só na palavra de esquerdalha é impossível acreditar",0,96,14,0,2,1,0,"",0.011168339289724827,0.05874626338481903,0.9300854206085205,"negativo"
"leosaturnin0","2026-01-22","11:55:27","@nikolas_dm Todas as transações financeiras sempre foram monitoradas deixa de ser burro, como pode ser deputado sendo anta desse jeito? Esqueci o Tiririca também é deputado e pelo jeito ser burro e mentiroso é um requisito",0,222,36,0,1,0,0,"",0.006042900960892439,0.014183304272592068,0.9797738194465637,"negativo"
"paulodesouzajf","2026-01-21","01:22:30","@nikolas_dm MULEKE MIMADO E MENTIROSO !!! SÍNICO NÃO ASSUME O QUE FALA !!! NÃO É HOMEM PARA ASSUMIR AS BESTEIRAS E MENTIRAS QUE FALA, SÓ MANIPULA AS PESSOAS. VOCÊ SERÁ EXTINTO NAS URNAS NESSE ANO DE 2026. VAAAAAAAAAAAAAAAAAAAA TRABALHAR, NIKOLE !!!",0,248,41,0,1,1,0,"",0.003759002313017845,0.009495059959590435,0.9867460131645203,"negativo"
