"usuario","data","hora","texto","midia","num_caracteres","num_palavras","num_emojis","num_mencoes","likes","repostagens","comentarios","prob_positivo","prob_neutro","prob_negativo","sentimento_geral"
"___ttnf","2025-09-24","18:47:14","Carregava nos ombros o peso da morte de 700 mil pessoas. 👏👏👏",0,60,12,3,0,225,"",20,0.34194982051849365,0.43526598811149597,0.22278420627117157,"neutro"
"fonopamelarachid","2025-09-20","02:08:14","😭🙏 não é o fim! Essa história está apenas começando! AVANTE!!! 🇧🇷🔥🙏❤️",0,69,12,6,0,6,"",0,0.13156653940677643,0.1453491747379303,0.7230843305587769,"negativo"
"elainesimao.simao","2025-11-09","22:32:27","Volta Bolsonaro🙏💚🇧🇷",0,19,2,3,0,3,"",0,0.5076789259910583,0.27905893325805664,0.21326223015785217,"positivo"
"silvinasalmeida","2025-09-28","02:39:45","O melhor presidente, justo, humano, honesto, sensível, bem-humorado, forte, resiliente, o homem que soube despertar em um povo a certeza de que vale a pena lutar por liberdade e pela verdade. Saudade de vê-lo e ouvi-lo. 🇧🇷💚💛",0,224,37,3,0,39,"",3,0.9877060055732727,0.008042016066610813,0.004251950886100531,"positivo"
"cristallobo","2025-09-19","17:54:25","Deus proteja nosso Bolsonaro e levante a nossa nação🇧🇷🙏",0,55,9,2,0,14,"",1,0.7060707807540894,0.2722232937812805,0.02170589752495289,"positivo"
"fernandakdelgado","2025-09-19","16:24:42","Estou aqui nos Estados Unidos 🇺🇸 e me emocionei às lágrimas ao assistir o seu vídeo, Nicholas. 🙏 Que Deus abençoe a sua vida por ser uma voz de consciência em tempos de memória curta. É admirável ver pessoas como você, que persistem em levar verdade, coragem e amparo mesmo quando tantos preferem o silêncio. Minhas orações estão também com o presidente Bolsonaro, que agora enfrenta, além do peso da liderança e do estresse, a mutação positiva do câncer de pele. Somente quem já passou por esse desafio sabe a dor e o respeito que essa luta merece. Receba meu carinho, minha admiração e minha gratidão. 💛🇧🇷",0,607,107,4,0,22,"",1,0.9731125831604004,0.019490037113428116,0.007397354580461979,"positivo"
"dudabotolli","2025-09-19","14:22:22","Os humilhadas serão exaltados 🇧🇷",0,32,5,1,0,1,"",1,0.2731705605983734,0.6060923933982849,0.1207369938492775,"neutro"
"dud4_ferreiraaa","2025-10-08","03:30:00","saiu do exército?KKKKKKKKKKKKKKK",0,32,3,0,0,73,"",2,0.03133615478873253,0.8456878066062927,0.12297608703374863,"neutro"
"emiliocarlosrizzo","2025-10-11","09:26:37","O MELHOR PRESIDENTE QUE O BRASIL JÁ TEVE: JAIR MESSIAS BOLSONARO! 👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",0,108,12,29,0,55,"",3,0.9707484245300293,0.023037035018205643,0.006214549299329519,"positivo"
"mickelletenires","2025-09-19","00:47:46","🙏🙏🙏",0,3,1,3,0,1,"",0,0.5124520063400269,0.44201555848121643,0.04553242400288582,"positivo"
