"usuario","data","hora","texto","midia","num_caracteres","num_palavras","num_emojis","num_mencoes","likes","repostagens","comentarios","prob_positivo","prob_neutro","prob_negativo","sentimento_geral"
"Jotaerr81755688","2026-01-25","01:29:01","@BolsonaroSP @NicolasMaduro 🤬🥵👹👺🎯",0,33,3,5,2,0,0,"",0.3514469563961029,0.5208141803741455,0.1277388334274292,"neutro"
"Chadiaregis","2026-01-10","01:21:50","@BolsonaroSP @NicolasMaduro Fujão covarde, vem falar isso no parlamento . Voto jogado no 🚯",0,90,14,1,2,0,0,"",0.0036297619808465242,0.009541981853544712,0.9868283271789551,"negativo"
"Csforever19941","2026-01-07","13:59:55","@adrianobhavanas @BolsonaroSP @NicolasMaduro Hehehe. Com essa eleição vcs elegem até o cachorro caramelo. Coloca o voto auditável e vamos para total transparência e aí a gente conversa. Mas vcs não querem não é? https://t.co/50whKFSnhX",1,235,34,0,3,0,0,"",0.056020770221948624,0.4752177298069,0.4687614440917969,"neutro"
"Csforever19941","2026-01-07","13:59:06","@adrianobhavanas @BolsonaroSP @NicolasMaduro Veio. Tu não tem segurança. Não tem saúde. Não tem educação. Os manos estão lhe matando por causa de um celular e seu presidente defende isso. E você esta Gostando e achando bom. Não sou eu o sonhador. https://t.co/Vsq2UJCTFs",1,270,42,0,3,0,0,"",0.012553153559565544,0.04291196167469025,0.9445348978042603,"negativo"
"RTdoBruno","2026-01-06","21:32:30","@BolsonaroSP @NicolasMaduro Não vai mudar nada no preço do pão. Como sempre, não acontece nenhuma das tuas alucinações aí na Disney.",0,132,21,0,2,0,0,"",0.013726219534873962,0.4768122136592865,0.5094615817070007,"negativo"
"adrianobhavanas","2026-01-06","09:05:58","@Csforever19941 @BolsonaroSP @NicolasMaduro Se ficar chorando vai ser até 2050",0,78,10,0,3,0,0,"",0.02669457532465458,0.3333170711994171,0.6399883031845093,"negativo"
"adrianobhavanas","2026-01-06","09:05:17","@Csforever19941 @BolsonaroSP @NicolasMaduro Kkkkkkkkkkk vai sonhando não paga kkkkkkkkkkl",0,89,9,0,3,0,0,"",0.07734754681587219,0.5919875502586365,0.33066490292549133,"neutro"
"ayrton_loureiro","2026-01-06","02:46:59","@BolsonaroSP @NicolasMaduro https://t.co/oDqk3ETs3b",1,51,3,0,2,0,0,"",0.06278277188539505,0.9104264974594116,0.026790712028741837,"neutro"
"Csforever19941","2026-01-06","01:47:03","@adrianobhavanas @BolsonaroSP @NicolasMaduro Hahaha. As mesmas pesquisas q dão like com 90% de votos. Huahuahuahua. Então pq vcs são contra o voto auditável? Total transparência no processo? Já q estão assim. Tão certos da vitória? Vai não né pai. https://t.co/S6Hdko7v7U",1,271,40,0,3,0,0,"",0.04091298580169678,0.231283500790596,0.7278035283088684,"negativo"
"Csforever19941","2026-01-06","01:45:56","@adrianobhavanas @BolsonaroSP @NicolasMaduro E o q tu defende não é brother. Um maluco q a qq momento pode causar uma guerra nuclear. Realmente teus neurônios ficaram no útero da tua mãe. https://t.co/wIQ2QtgSkq",1,211,32,0,3,0,0,"",0.005088087171316147,0.02059170790016651,0.9743202328681946,"negativo"
"Csforever19941","2026-01-06","01:45:00","@adrianobhavanas @BolsonaroSP @NicolasMaduro Muita água vai passar embaixo dessa ponte ainda. Aguarde e verás. https://t.co/lJL3A87PIL",1,134,15,0,3,0,0,"",0.06904850155115128,0.8996753692626953,0.031276196241378784,"neutro"
"Csforever19941","2026-01-06","01:44:15","@adrianobhavanas @BolsonaroSP @NicolasMaduro Tá defendendo maduro tá? Como defende o da Coreia da norte? Tu gosta de bandido né biba. Hum hum. Quanto mais violento para você melhor Não é? Tua cara não engana. https://t.co/an5B2t8VfB",1,232,35,0,3,0,0,"",0.022388095036149025,0.09149948507547379,0.8861123919487,"negativo"
"Csforever19941","2026-01-06","01:43:07","@adrianobhavanas @BolsonaroSP @NicolasMaduro Cara, uma hora essa régua muda de mãos. E sabe o q é pior, é q qdo vcs começarem a serem tratados como tratam os políticos da direita, vcs ficar alegando perseguição. Vcs estão abrindo precedentes perigosos. Pq tu não se muda para Coreia do Norte já q tu defende em teus posts? https://t.co/aNTts6uTsT",1,346,57,0,3,0,0,"",0.009251698851585388,0.03898370638489723,0.9517646431922913,"negativo"
"Csforever19941","2026-01-06","01:41:26","@adrianobhavanas @BolsonaroSP @NicolasMaduro Fhc só era direita no nome. Comia Aécio Neves. Veja quem ele apoiou na última eleição. Veja as fotos dele jovem, com quem andava. Já ouviu falar de teatro das tesouras? Não né. Não estudou. https://t.co/xo7JDA68Nw",1,258,39,0,3,0,0,"",0.012930084019899368,0.6107717752456665,0.37629812955856323,"neutro"
"Csforever19941","2026-01-06","01:40:00","@adrianobhavanas @BolsonaroSP @NicolasMaduro Engraçado que essa esquerda demoníaca q todo dia aparece roubando alguém nas suas palavras virou um antro de gente honesta. Os correios q o digam. Os idosos aposentados tb. Hehehe. Pense em um bicho burro é esquerdista. https://t.co/HnCkzHL2Xd",1,288,41,0,3,0,0,"",0.007579535711556673,0.013625415973365307,0.9787951111793518,"negativo"
"adrianobhavanas","2026-01-06","01:39:51","@Csforever19941 @BolsonaroSP @NicolasMaduro Quando vc se olhar no espelho volta passar vergonha com dignidade kkkkkkkkk https://t.co/yer9QskdS1",1,143,16,0,3,0,0,"",0.0111603494733572,0.07791411876678467,0.910925567150116,"negativo"
"adrianobhavanas","2026-01-06","01:39:02","@Csforever19941 @BolsonaroSP @NicolasMaduro Segura https://t.co/tiGlmbkUPW",1,74,5,0,3,0,0,"",0.2491517812013626,0.7388409376144409,0.01200720202177763,"neutro"
"adrianobhavanas","2026-01-06","01:38:42","@Csforever19941 @BolsonaroSP @NicolasMaduro Já você achou que a galinha loira iria calar Xandão kkkkkk se fuderam kkkkkkkk",0,122,17,0,3,0,0,"",0.02445586770772934,0.418539822101593,0.5570043325424194,"negativo"
"Csforever19941","2026-01-06","01:37:32","@adrianobhavanas @BolsonaroSP @NicolasMaduro Você tb vai dizer q Bolsonaro interferiu na pf? Você diz O q de lule q trocou o diretor geral, pelo menos 20 superintendentes regionais e trocou ainda quase todas as superintendências regionais da prf? Isso não é interferência. O problema de vcs é q não pensam. https://t.co/ugx13fXaZk",1,330,51,0,3,0,0,"",0.02781250700354576,0.1893150806427002,0.7828723788261414,"negativo"
"adrianobhavanas","2026-01-06","01:37:32","@Csforever19941 @BolsonaroSP @NicolasMaduro Acredito nisso https://t.co/mLWO7v6Pol",1,82,6,0,3,0,0,"",0.3315090239048004,0.6464784741401672,0.022012457251548767,"neutro"
"Csforever19941","2026-01-06","01:35:54","@adrianobhavanas @BolsonaroSP @NicolasMaduro Hahaha. Tu acredita em papai noel? Coelhinho da Páscoa? Pois é. Hehe. Por isso q dizem q esquerdista tem QI médio de 87. https://t.co/GgztgzRukP",1,189,27,0,3,0,0,"",0.025486228987574577,0.25603964924812317,0.7184740900993347,"negativo"
