data,texto,likes,comentarios,sentimento_geral,tipo
2025-09-19,"@nikolas_dm Nícolas, quando você vai fazer um projeto ou uma ação política relevante para impactar positivamente a vida e ajudar as pessoas que elegeram você, ao invés de ficar o dia todo no Twitter chupando as bolas do seu sugar daddy? Aposto q a população de MG e Bh ia agradecer bastante",24,,negativo,TOP 5
2025-09-19,@nikolas_dm https://t.co/jlZXlgCs2I,19,,neutro,TOP 5
2025-09-19,@nikolas_dm kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk https://t.co/Se4f9e5ILB,17,,neutro,TOP 5
2025-09-19,@nikolas_dm Resumo: você quer dar seu cu pra ele e não sabe como pedir por causa da Michelle te impedindo,17,,neutro,TOP 5
2025-09-18,@nikolas_dm OBRIGADO PRESIDENTE BOLSONARO https://t.co/xpkDcN9XXh,15,,positivo,TOP 5
2026-01-27,"@nikolas_dm Bolsinaro só colhe o que semeou: ódio, traição e desrespeito. Que apodreça na cadeia!",0,,negativo,BOTTOM 5
2026-01-27,@Jakelyneloiola_ @nikolas_dm 🤣🤣🤣🤣🤣🤡🤡🤡🤡🤡,0,,positivo,BOTTOM 5
2026-01-27,@nikolas_dm Dá nojo ver tanta idolatria!,0,,negativo,BOTTOM 5
2025-12-21,@nikolas_dm @renanpla Lixo,0,,negativo,BOTTOM 5
2025-12-01,@nikolas_dm Quem ainda acredita nessa merda toda? Só os jumentos! Os oportunistas também estão por aí...,0,,negativo,BOTTOM 5
